net,length_um
_0716_,6.72
_0726_,6.72
_0785_,6.72
_1029_,6.72
_1300_,6.72
_1198_,6.66
_0401_,6.64
_0784_,6.64
_1180_,6.64
_0082_,6.62
_0246_,6.62
_1352_,6.62
_1038_,6.6
_1173_,6.55
mcand[10],6.55
_0351_,6.52
_1197_,6.515
_0360_,6.5
_0549_,6.5
_0581_,6.5
_0906_,6.5
_0830_,6.42
_0300_,6.415
_0782_,6.4
_0880_,6.4
_1046_,6.4
_1305_,6.4
_0296_,6.36
_0069_,6.32
_0260_,6.32
_0110_,6.3
_0329_,6.3
_0423_,6.3
_0476_,6.3
_0700_,6.3
_1240_,6.3
_0010_,6.28
_0381_,6.28
_1215_,6.28
_1257_,6.28
_0273_,6.26
_0611_,6.26
_0789_,6.26
product[12],6.21
product[29],6.21
_0021_,6.2
_0303_,6.2
_0475_,6.2
_0208_,6.18
_0396_,6.18
_0548_,6.18
_0625_,6.16
_1247_,6.16
_1054_,6.15
_0158_,6.14
_0406_,6.14
_0443_,6.14
_0570_,6.14
_0964_,6.14
mcand[0],6.09
mcand[12],6.09
_0749_,6.08
_0122_,6.06
_0440_,6.06
_0576_,6.06
_0707_,6.06
_1143_,6.06
_1000_,6.04
_0174_,6.02
_0855_,6.02
_1137_,5.99
_0059_,5.94
_0373_,5.94
_0595_,5.92
_1357_,5.9
_0479_,5.86
_0737_,5.86
_0776_,5.86
_0958_,5.86
_0091_,5.84
_0451_,5.84
_0663_,5.84
_0457_,5.82
_0088_,5.8
_0228_,5.8
_0482_,5.8
_0733_,5.8
_1302_,5.8
product[0],5.75
_0314_,5.74
_0483_,5.74
_0502_,5.74
_0415_,5.72
_0493_,5.72
_0523_,5.72
_0534_,5.72
_0559_,5.72
_0753_,5.72
_0127_,5.7
_0563_,5.68
_1313_,5.68
_1123_,5.66
_0099_,5.62
_0289_,5.6
_0485_,5.6
_0796_,5.6
_1283_,5.6
_1017_,5.56
product[7],5.53
_0632_,5.515
_0699_,5.5
_1030_,5.5
_1204_,5.5
_0291_,5.48
_0783_,5.48
_1016_,5.48
mplier[14],5.41
_0336_,5.4
_0895_,5.4
_1281_,5.4
_1065_,5.38
_0011_,5.36
_0338_,5.26
_0447_,5.26
_0810_,5.26
_1150_,5.26
_0235_,5.24
_1255_,5.22
mplier[0],5.19
mplier[11],5.19
product[14],5.19
product[25],5.19
_0957_,5.17
_0352_,5.16
_1121_,5.14
net68,5.14
_1183_,5.04
_1045_,5.02
_1129_,5.02
_1166_,5.02
_0579_,4.94
_1251_,4.94
_0045_,4.92
_0108_,4.92
_0326_,4.92
_0409_,4.92
_0603_,4.92
_0773_,4.92
_0839_,4.92
_1049_,4.92
_1078_,4.92
_1141_,4.92
_0356_,4.9
_0878_,4.9
_0343_,4.88
_0454_,4.88
net33,4.88
product[11],4.85
product[8],4.85
_1364_,4.825
_0152_,4.82
_0232_,4.82
_0362_,4.82
_0095_,4.8
_0226_,4.8
_0297_,4.8
_0306_,4.8
_0547_,4.8
_0675_,4.8
_0959_,4.8
_1273_,4.8
_1266_,4.76
_0528_,4.68
_1199_,4.68
_0413_,4.66
_1232_,4.58
_1140_,4.56
_0425_,4.54
_0103_,4.48
_0438_,4.48
_0679_,4.48
_0898_,4.48
_0333_,4.46
_0347_,4.46
_0391_,4.46
_0489_,4.46
_0641_,4.46
_0709_,4.46
_0983_,4.46
_1246_,4.45
_0698_,4.44
_0826_,4.44
product[20],4.39
product[2],4.39
product[9],4.39
_0036_,4.36
_0518_,4.36
_0618_,4.36
_0165_,4.34
_0166_,4.34
_0238_,4.34
_0388_,4.34
_0445_,4.34
_0748_,4.34
_0768_,4.34
_1200_,4.34
_0436_,4.22
_0112_,4.1
_0469_,4.1
_0315_,4.02
_0385_,4.02
_0946_,4.02
_0189_,4
_0371_,4
_0517_,4
_1318_,4
_0701_,3.98
_1272_,3.98
mplier[12],3.93
_0029_,3.885
_0280_,3.88
_0630_,3.88
_0913_,3.88
_1066_,3.88
_1115_,3.88
_0633_,3.86
_1310_,3.81
_0349_,3.76
_0405_,3.76
_1340_,3.76
_0500_,3.68
_0752_,3.68
_0168_,3.66
_0435_,3.64
_0769_,3.64
_0002_,3.56
_0139_,3.56
_0437_,3.56
_0441_,3.56
_0118_,3.54
_0527_,3.54
_0537_,3.54
_1287_,3.54
_0307_,3.42
_0369_,3.42
_0459_,3.42
_0584_,3.42
_0807_,3.42
_1181_,3.42
_1238_,3.42
_0279_,3.3
_0184_,3.2
_0467_,3.18
_0064_,3.1
_0681_,3.1
_0399_,3.08
_0431_,3.08
_0616_,3.08
_0799_,3.08
_1027_,3.08
_1214_,3.08
_0645_,3.01
_0093_,2.96
_0171_,2.96
_0325_,2.96
_0455_,2.96
net59,2.96
_0816_,2.64
_1158_,2.64
_0420_,2.62
_0741_,2.62
_0837_,2.62
_0985_,2.62
_1149_,2.62
_1361_,2.62
_1331_,2.52
_0497_,2.5
_0536_,2.5
_1227_,2.5
_1242_,2.5
_1350_,2.5
_1056_,2.38
_0263_,2.3
_0363_,2.3
_0892_,2.18
_0141_,2.16
_0219_,2.16
_0247_,2.16
_0375_,2.16
_0384_,2.16
_0412_,2.16
_0460_,2.16
_0848_,2.16
_1156_,2.16
_1191_,2.16
_0492_,2.06
net55,2.06
_0309_,2.04
_0511_,2.04
_0550_,1.84
_0322_,1.82
_0312_,1.72
_0328_,1.72
_0032_,1.7
_0484_,1.7
_1322_,1.7
_0374_,1.68
_1234_,1.68
_0472_,1.38
_0617_,1.38
_1259_,1.38
_0100_,0.92
_1188_,0.915
_1263_,0.83
_0097_,0.46
